1,0,1,1,1,0,0,0,4,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,2,3,2,2,2,0,2,2,-2,4,0,2,-2,-2,2,-2,2,-2,2,-2,-2,-1.714285714,2,2,2,0,1.5,0,0,1,1,0,0,0,0,0,1,0,0,-2,2,-2,999,1,-2,-2,999,999,1,-1,2,2,2,-2,-2,2,-2,999,1,-2,-2,999,999,999,2,-1,2,2,2,-2,999,1,-2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,999,999
1,1,0,1,0,0,0,0,3,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0.285714286,0,1,1,1,0.75,1,1,1,1,999,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,-1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,-1,1,1,1,-1,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,0
1,1,1,1,0,0,0,0,3,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0,2,-2,0,2,0,2,-2,0,0,0,-1,1,-2,2,2,0.428571429,-2,-2,2,0,-0.5,1,0,0,1,0,0,0,0,1,1,0,0,1,-2,-2,-2,-1,1,-2,999,999,-2,2,1,-2,-2,-2,-1,0,-2,-2,-2,2,1,1,1,1,-1,-1,1,-2,1,-2,1,1,-2,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,1,999,999
1,0,0,1,0,0,0,0,3,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,-1,2,1,0,2,0,-2,4,-2,1,-1,-2,2,-2,1,-1,2,-2,-2,-1.714285714,1,2,2,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,-2,1,-1,1,1,1,1,1,-1,1,1,1,-1,-2,2,-2,1,-1,-1,1,2,1,0,1,-1,1,1,2,1,1.5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1.25,1
1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,3,2,1,1,0,1,0,-1,3,-1,1,-1,-1,1,-1,-1,1,2,-2,-2,-1,-2,-2,999,0,-1.333333333,999,0,0,999,0,999,1,0,999,999,0,999,0,0,-2,1,0,1,1,0,999,-2,2,1,0,-1,-1,0,0,-2,1,0,1,2,0,999,999,0,0,1,1,1,-1,0,1,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,4,1,0
1,1,1,1,0,0,0,0,3,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,3,1,0,1,1,1,1,1,2,6,1,-1,1,0,0,0,-1,1,1,-1,0,0.285714286,-1,0,2,-1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,-1,-1,2,0,-1,-1,1,1,1,0,1,1,1,-2,-1,1,-1,1,1,-1,-1,1,1,0,1,-1,1,1,-2,-2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,4,1,0
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,2,1,2,2,2,6,2,0,0,2,0,0,-1,1,-1,1,1,1,-2,-2,0,0,-1,999,999,999,999,999,999,999,999,999,999,999,999,2,-2,-2,2,-1,-1,2,1,1,-1,1,2,0,0,-2,1,-1,-2,2,0,0,2,0,999,999,1,1,2,0,0,-2,0.5,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0.75,-1
1,0,1,0,0,0,0,0,2,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0,-2,2,1,2,2,2,2,7,2,0,0,1,-1,1,-2,2,1,-1,2,1,-2,-2,999,1,-1,1,999,999,1,0,1,1,0,999,1,0,1,1,-2,-2,0,2,-1,1,1,1,1,0,2,-1,-2,-2,-1,-2,-2,0,-1,-1,2,0,999,999,1,-1,2,0,-2,-2,0.5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0.75,-1
0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,2,2,0,2,1,1,5,2,0,0,2,0,0,-1,1,0,0,2,1,-2,-2,-2,-1,-1.75,999,999,999,999,999,999,1,0,999,1,0,999,0,-1,0,1,0,-1,0,0,999,999,999,2,0,-1,-1,-1,0,0,1,-1,-1,1,0,999,999,1,0,2,0,0,-1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,999,5,0,0,0,0,0,0,1,999,0,0,0,0,0,0,1,4,1,0
1,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,1,1,2,2,2,6,1,1,-1,1,0,0,0,0,2,-2,2,0.142857143,0,0,2,2,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,-2,2,-2,-2,2,2,1,1,1,1,1,1,1,0,1,-2,2,-2,-2,2,2,1,0,2,1,1,1,1,1,2,1,-2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0
